cluster,cluster_id,a-woman-dramatically-confronts-the-irony-of-a-man-claiming-he-isn-t-ready-for-a-relationsh-ed093823,
cluster,cluster_name,A woman dramatically confronts the irony of a man claiming he isn't ready for a relationship despite meeting her on a dating app. The skit uses dramatic classical music to heighten the comedic despair.,
cluster,pattern_type,visual,
cluster,member_count,1,
cluster,avg_outlier_score,N/A,
cluster,platform_distribution,"{""tiktok"": 1}",
cluster,category_distribution,"{""meme"": 1}",
cluster,temporal_phase_distribution,"{""T0"": 1}",
cluster,avg_variant_age_days,0.00,
cluster,avg_novelty_decay_score,1.0000,
cluster,avg_burstiness_index,0.3012,
entry,platform,tiktok,1
entry,category,meme,1
entry,source_url,https://vt.tiktok.com/ZSPKdL6gv/,1
entry,created_at,2025-12-25T18:19:47.899732,1
entry_temporal,temporal_phase,T0,1
entry_temporal,variant_age_days,0,1
entry_temporal,novelty_decay_score,1.0,1
entry_temporal,burstiness_index,0.3012,1
entry_analysis,schema_version,v3.2,1
entry_analysis,title,We Met on a Dating App Meltdown,1
entry_analysis,content_duration,9.0,1
analysis_hook,pattern,problem_solution,1
analysis_hook,delivery,dialogue,1
analysis_hook,strength,0.95,1
analysis_hook,summary,Immediate introduction of a universal dating trigger phrase ('I'm not ready for a relationship') paired with visual distress.,1
analysis_hook,microbeats_json,"[{""t"": 0.0, ""cue"": ""visual_text"", ""note"": ""Text overlay: 'I'm not ready for a relationship' sets the conflict"", ""role"": ""start""}, {""t"": 2.5, ""cue"": ""dialogue"", ""note"": ""She repeats the phrase in disbelief, voice cracking"", ""role"": ""build""}, {""t"": 6.0, ""cue"": ""dialogue"", ""note"": ""Screams the logical fallacy: 'WE MET ON A DATING APP'"", ""role"": ""punch""}]",1
analysis_hook_viral,curiosity_gap,Why is she so upset? (Resolved immediately by the relatability of the situation),1
analysis_hook_viral,meme_potential,remixable_action,1
analysis_hook_viral,engagement_pattern,share_trigger,1
analysis_hook_viral,relatability_factor,painful_truth,1
analysis_intent,hook_trigger,emotional_validation,1
analysis_intent,hook_trigger_reason,Viewers immediately recognize the pain of the 'not ready' excuse used on dating platforms.,1
analysis_intent,retention_strategy,Escalation of volume and emotion synced with dramatic music.,1
analysis_intent,dopamine_radar_json,"{""comedy_shock"": 7, ""visual_spectacle"": 2, ""audio_stimulation"": 8, ""narrative_intrigue"": 6, ""emotional_resonance"": 10}",1
